absolute_path,size_bytes,modified_time_ns,sha256
D:\iccd\data\20260319\2\155-Camera1[20600555].tif,52469894,1784105935226611800,7c88db8e68a7c644ed3208a36dfd69e0f8e86879e6c1f72c9b06722467f7159b
D:\iccd\data\20260319\2\156-Camera1[20600555].tif,52469894,1784105936881435100,d229f27b531e775c434e90b59749b31d3889d570e110344b6d545ba8d522e1de
D:\iccd\data\20260319\2\157-Camera1[20600555].tif,52469894,1784105940746897800,6a77e37e90c4ac8816e19acdcfb2fc3e0ae88908fea435c1a08fe8df504da96e
D:\iccd\data\20260319\2\158-Camera1[20600555].tif,52469894,1784105947052755800,82806819278c07bb0a4da7d03956f829de7dbdc69399d0a531f26184d01b0d30
D:\iccd\data\20260319\2\159-Camera1[20600555].tif,52469894,1784105947749078400,b71a6fa5af2a3ac49c3c068eff32f164d0ff22f6a6406047413865b33014174d
D:\iccd\data\20260319\2\160-Camera1[20600555].tif,52469894,1784105945972118100,9d312f9d842a8a3506d7616341a931bf0abe7d3cb3c2d795eb9af6a6ea079c6e
D:\iccd\data\20260319\2\161-Camera1[20600555].tif,52469894,1784105945562451000,23d4eaf2fb0d6acea10305b3bd2cb3efe2f9919d59d2fad62095ac8d2b3e96d5
D:\iccd\data\20260319\2\162-Camera1[20600555].tif,52469894,1784105948466365400,8db4e68bc85b5fe26494ed719c4b1028cd6ef7260d9839aee34c95de1da2942a
D:\iccd\data\20260319\2\163-Camera1[20600555].tif,52469894,1784105947591225800,63e572015d903a1564d8f2f6ca3a154c3ec9393a1810056ae2d0d5ddf0381fc0
D:\iccd\data\20260319\2\164-Camera1[20600555].tif,52469894,1784105950417010400,7faaea8b76f988dbed29465ae384b7e06751a7eca1f98e10cc7706fa241940e9
D:\iccd\data\20260319\2\165-Camera1[20600555].tif,52469894,1784105963017880600,b6eba696c07b280f657c7fac441212a518a0cadb8b01edafb5da2464a51824cf
