folder,frame_count,crop_size,radius_px,psd_mean,psd_norm
4,128,512,71,4482444241.345795,0.003740481102697743
4,128,512,72,4519923154.133333,0.0037717562636330085
4,128,512,73,4455550413.24138,0.0037180389148226823
4,128,512,74,4464886525.793103,0.003725829653690166
4,128,512,75,4482171986.823529,0.0037402539135034493
4,128,512,76,4460644710.4,0.003722289970993684
4,128,512,77,4438559477.67742,0.0037038604287172833
4,128,512,78,4403369618.285714,0.0036744954222667522
4,128,512,79,4453252859.870968,0.0037161216673340922
4,128,512,80,4426213797.415384,0.0036935582852362465
4,128,512,81,4438082332.672,0.0037034622638367127
4,128,512,82,4409768765.134328,0.0036798353409744616
4,128,512,83,4442649167.238095,0.003707273166432235
4,128,512,84,4407776147.104478,0.0036781725539582174
4,128,512,85,4485740193.635036,0.0037432314876639596
4,128,512,86,4425983202.823529,0.003693365860151454
4,128,512,87,4395885572.637681,0.0036682501842200677
4,128,512,88,4389541803.969465,0.003662956477138455
4,128,512,89,4349036895.573334,0.0036291562029432435
4,128,512,90,4383777820.753623,0.003658146585674272
4,128,512,91,4398394676.444445,0.0036703439649496384
4,128,512,92,4373747380.965517,0.003649776449101665
4,128,512,93,4374689898.958904,0.0036505629554257593
4,128,512,94,4335081355.789474,0.0036175106742921603
4,128,512,95,4374836149.848276,0.003650684997922775
4,128,512,96,4359814079.146667,0.00363814947744391
4,128,512,97,4354328703.189874,0.003633572076364758
4,128,512,98,4364173219.368421,0.003641787064605192
4,128,512,99,4369024666.236025,0.0036458354686347686
4,128,512,100,4352827424.0,0.0036323192986084172
4,128,512,101,4356066987.180723,0.0036350226283557723
4,128,512,102,4388740781.316771,0.0036622880449318474
4,128,512,103,4368090146.461538,0.003645055636612694
4,128,512,104,4314927031.619047,0.0036006924241058533
4,128,512,105,4353576825.639751,0.003632944654445745
4,128,512,106,4307287729.287356,0.0035943176284651372
4,128,512,107,4325669227.428572,0.003609656502243486
4,128,512,108,4324073012.433735,0.003608324503070143
4,128,512,109,4319091601.216374,0.003604167647229877
4,128,512,110,4324273061.209302,0.003608491438479562
4,128,512,111,4330607687.111111,0.0036137775161645485
4,128,512,112,4305624776.411428,0.003592929938296075
4,128,512,113,4295399505.258427,0.003584397220105189
4,128,512,114,4298469925.8494625,0.0035869594048373865
4,128,512,115,4281879867.022222,0.0035731154397605773
4,128,512,116,4297922910.391062,0.0035865029349127506
4,128,512,117,4295154330.434783,0.0035841926282027983
4,128,512,118,4309868153.87234,0.0035964709244968064
4,128,512,119,4286377333.164021,0.003576868456241686
4,128,512,120,4285479897.87234,0.0035761195702391645
4,128,512,121,4304528211.478261,0.0035920148838772025
4,128,512,122,4255702600.2901554,0.003551271203388732
4,128,512,123,4276337937.3980584,0.003568490846142556
4,128,512,124,4255959161.87234,0.003551485297239803
4,128,512,125,4268939280.4752474,0.003562316862727469
4,128,512,126,4296098207.8306875,0.00358498026891232
4,128,512,127,4264592574.745098,0.003558689651820384
4,128,512,128,4264817198.6019416,0.00355887709448481
5,128,512,0,0.36574575304985046,2.826136065225762e-14
5,128,512,1,2005668726784.0,0.15497904422384692
5,128,512,2,1425470244864.0,0.11014681196769115
5,128,512,3,2520609429504.0,0.19476877463833342
5,128,512,4,2021304167082.6667,0.15618720266055539
5,128,512,5,262549938380.8,0.02028736748392665
5,128,512,6,238389588081.77777,0.01842048490882678
5,128,512,7,71866980181.33333,0.005553198168281895
5,128,512,8,153326926409.14285,0.011847649709716078
5,128,512,9,419106244242.2857,0.03238455298899949
5,128,512,10,472472719962.35297,0.03650820775324006
5,128,512,11,327068706688.0,0.025272765577450663
5,128,512,12,81259710156.8,0.006278979198225267
5,128,512,13,58409868154.434784,0.004513360266792504
5,128,512,14,59425103639.27273,0.0045918080298757965
