folder,frame_count,crop_size,radius_px,autocorr_mean,autocorr_norm
4,128,512,99,-0.0007614755138573715,-0.0005498730434224866
4,128,512,100,-0.0005865662263485651,-0.0004235683881905381
4,128,512,101,-0.0006638830640415958,-0.00047940005194910837
4,128,512,102,-0.0005711191789012427,-0.0004124138404248149
4,128,512,103,-0.0005422745401923353,-0.000391584688358003
4,128,512,104,-0.0006094961653966751,-0.00044012644572544933
4,128,512,105,-0.0004340033020460533,-0.00031340038150743727
4,128,512,106,-0.0005679894632045416,-0.00041015382514674717
4,128,512,107,-0.00047650614533853745,-0.00034409233071662065
4,128,512,108,-0.00048017204490244614,-0.0003467395325155024
4,128,512,109,-0.0005086418018648402,-0.0003672979767747388
4,128,512,110,-0.0003825672360477815,-0.00027625761639227795
4,128,512,111,-0.0004648444149090462,-0.00033567121790847057
4,128,512,112,-0.0003998168740667714,-0.00028871384221021646
4,128,512,113,-0.00040016812902776304,-0.0002889674887568261
4,128,512,114,-0.0003460980477874886,-0.00024992266119686904
4,128,512,115,-0.0003451726953442466,-0.00024925445013171426
4,128,512,116,-0.000378331102859851,-0.00027319864022561075
4,128,512,117,-0.0003111295547948244,-0.00022467138086564652
4,128,512,118,-0.0003525629579317306,-0.0002545910710823812
4,128,512,119,-0.0003012489419012977,-0.0002175364401042281
4,128,512,120,-0.00031004120068975235,-0.00022388546382276522
4,128,512,121,-0.0002267377291228837,-0.00016373076074361614
4,128,512,122,-0.00014673732737709622,-0.00010596125459083214
4,128,512,123,-0.0002657289855050846,-0.00019188693966674188
4,128,512,124,-0.0001412635550792423,-0.00010200856041006245
4,128,512,125,-0.00018026287715998556,-0.0001301705636967089
4,128,512,126,-7.482867462685921e-05,-5.403492338697709e-05
4,128,512,127,-8.46633071050358e-05,-6.11366609915424e-05
4,128,512,128,-0.0001074201007010722,-7.756968756360065e-05
5,128,512,0,1.0,0.39871271081360576
5,128,512,1,0.07668545069339351,0.03057546392592603
5,128,512,2,0.07024618253053082,0.0280080458610553
5,128,512,3,0.06588015730722888,0.026267256108792002
5,128,512,4,0.061962768640656335,0.024705343454232368
5,128,512,5,0.057408996710006224,0.022889696703335956
5,128,512,6,0.05362726438143958,0.0213818719550417
5,128,512,7,0.04977281952551868,0.01984505579785592
5,128,512,8,0.04632135612943582,0.018468913470929788
5,128,512,9,0.04316176740439052,0.01720914528531087
5,128,512,10,0.03993221216416511,0.015921480560758313
5,128,512,11,0.03790118020053678,0.015111682300790982
5,128,512,12,0.03474758361201329,0.013854303256168243
5,128,512,13,0.032764074447206845,0.013063452940144632
5,128,512,14,0.030591821289931275,0.012197347995233877
5,128,512,15,0.028740791250955453,0.01145931879059641
5,128,512,16,0.02740525473083437,0.010926823404268364
5,128,512,17,0.02534266710162991,0.010104443499337645
5,128,512,18,0.024504857069409143,0.009770397990244071
5,128,512,19,0.022872981534940544,0.009119748472185694
5,128,512,20,0.02194134809459256,0.008748294377699943
5,128,512,21,0.02041389112101989,0.008139277867115637
5,128,512,22,0.01988891506266703,0.007929963239777528
5,128,512,23,0.019296414641751754,0.007693725790796194
5,128,512,24,0.018006983304876108,0.007179613127062495
5,128,512,25,0.01755717312835313,0.007000268092229471
5,128,512,26,0.016404373767375906,0.006540632333990049
5,128,512,27,0.016300064739556492,0.0064990429987458395
5,128,512,28,0.015862789997108648,0.006324696000814138
5,128,512,29,0.01457919128988973,0.005812908880662044
5,128,512,30,0.01444401166111114,0.005759011044424955
5,128,512,31,0.013600811598483465,0.005422816461696473
5,128,512,32,0.013857552389970605,0.005525182278646741
5,128,512,33,0.012877731507335705,0.0051345152384196
5,128,512,34,0.012214254356484787,0.004869978465040943
5,128,512,35,0.012516679320676334,0.004990559142331462
5,128,512,36,0.011454617142902947,0.004567101452378834
5,128,512,37,0.011653093568320717,0.004646236525989747
5,128,512,38,0.010604796859532181,0.004228267303491689
5,128,512,39,0.01065924111214485,0.004249974919039107
5,128,512,40,0.010749748432548684,0.004286061338105795
5,128,512,41,0.00999558941198914,0.003985368550633965
5,128,512,42,0.009744937938289176,0.0038854306220856274
5,128,512,43,0.00917713627767397,0.0036590408827772715
5,128,512,44,0.009198216895404386,0.0036674459930181916
5,128,512,45,0.009067851370551928,0.0036154676012076295
5,128,512,46,0.008479133555874197,0.0033807383254132093
5,128,512,47,0.008452494103006462,0.0033701168369457235
5,128,512,48,0.007895568184365959,0.003148063394202211
5,128,512,49,0.007953271378506478,0.0031710703911605807
5,128,512,50,0.007650515181513871,0.0030503576471420405
5,128,512,51,0.007332527643014323,0.00292357197366194
5,128,512,52,0.0074257608684669815,0.0029607452457200653
5,128,512,53,0.0067420298332722004,0.0026881329912101615
5,128,512,54,0.006882388236039081,0.0027440956704628122
5,128,512,55,0.006147725561854494,0.002451176324105103
5,128,512,56,0.006292441358950283,0.0025088763518627166
5,128,512,57,0.006068153058930144,0.0024194497557579117
5,128,512,58,0.005652415763207717,0.002253690011594105
5,128,512,59,0.005415331304223589,0.0021591614242607664
5,128,512,60,0.004930068740980557,0.0019656810722137783
5,128,512,61,0.004911656923262855,0.0019583400464605475
5,128,512,62,0.004364968157933104,0.0017403682868645793
5,128,512,63,0.003938849017928643,0.0015704691694238381
5,128,512,64,0.003628130342232325,0.0014465816839365456
5,128,512,65,0.002953588817179245,0.0011776334039262882
