source_pair_key,full_mean_dn,roi_mean_dn,roi_to_full_mean_ratio,full_p99_dn,roi_p99_dn,full_robust_dynamic_range_dn,roi_robust_dynamic_range_dn,full_zero_ratio,roi_zero_ratio,full_saturation_ratio,roi_saturation_ratio
15ms_to_500ms_025,17097.3954474926,12871.132038116455,0.7528124431375924,39833.0,29834.420000000042,32533.0,22589.99000000004,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_026,17110.638546943665,12856.98575592041,0.7514030362249076,39772.0,30279.0,32464.0,22957.14,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_027,17144.744963169098,12885.357612609863,0.7515630964642874,39675.0,30195.420000000042,32296.0,22849.420000000042,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_028,17104.811000823975,12859.457874298096,0.7518035641363491,39633.0,30196.99000000005,32320.0,22882.99000000005,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_029,17087.326666116714,12831.644550323486,0.7509451186280633,39611.0,29967.570000000007,32315.0,22695.140000000007,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_030,17145.65284347534,12926.197929382324,0.7539052637649373,39653.0,30333.840000000084,32285.0,22945.840000000084,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_031,17134.12738442421,12934.59705734253,0.7549025851821747,39702.0,30467.270000000077,32353.0,23118.270000000077,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_032,17050.7756626606,12826.20287322998,0.752235741469405,39608.0,30061.0,32276.0,22755.14,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_033,17054.373834371567,12823.872547149658,0.7519403920479502,39551.0,30185.0,32244.0,22911.57,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_034,17062.118443012238,12818.316356658936,0.7512734365004162,39569.0,30209.140000000014,32252.0,22884.140000000014,0.0,0.0,0.00048422813415527344,0.0
15ms_to_500ms_035,17073.673310279846,12848.273040771484,0.7525195549475402,39518.0,30006.850000000035,32165.0,22604.850000000035,0.0,0.0,0.00048422813415527344,0.0
