folder,lag,brightness_bin,brightness_low,brightness_high,pixel_count,residual_correlation_mean,residual_correlation_max_abs
4,32,7,3201.1201171875,4001.199951171875,32769,-0.008239369681062378,0.04987087191110035
4,100,0,962.0,1032.0799560546875,32766,-0.008842988904299602,0.049514903442469095
4,100,1,1032.0799560546875,1056.56005859375,32710,-0.0054622512197705884,0.05048823575454259
4,100,2,1056.56005859375,1095.0400390625,32827,-0.00467187581932757,0.043610394579106836
4,100,3,1095.0400390625,1151.43994140625,32768,-0.0056190140903746195,0.04599492913903216
4,100,4,1151.43994140625,1776.800048828125,32768,-0.06647939507024875,0.14004645761864665
4,100,5,1776.800048828125,2728.39990234375,32767,-0.06077858950562515,0.11309553534529777
4,100,6,2728.39990234375,3201.1201171875,32769,-0.011163093307963862,0.06860157879983661
4,100,7,3201.1201171875,4001.199951171875,32769,-0.011073858144876679,0.05416107788336539
5,1,0,1219.3599853515625,1417.3599853515625,32762,-0.0055510513495082535,0.053512075901982835
5,1,1,1417.3599853515625,1533.5999755859375,32759,-0.005613660046317476,0.07106623676629033
5,1,2,1533.5999755859375,1710.6400146484375,32774,-0.005823057732844447,0.044737025135454245
5,1,3,1710.6400146484375,1950.3199462890625,32772,0.0014318134016744397,0.03247384162692736
5,1,4,1950.3199462890625,4547.759765625,32772,0.30843470007942325,0.6285870742200236
5,1,5,4547.759765625,8809.22021484375,32769,0.2804335288724482,0.5888904743257865
5,1,6,8809.22021484375,10830.7197265625,32767,0.06704374989627743,0.19894563747838986
5,1,7,10830.7197265625,14949.51953125,32769,0.006133770721821423,0.05845119442184694
5,8,0,1219.3599853515625,1417.3599853515625,32762,-0.007281581698981093,0.048876333252443754
5,8,1,1417.3599853515625,1533.5999755859375,32759,-0.004544635950273933,0.046185991518178315
5,8,2,1533.5999755859375,1710.6400146484375,32774,0.0027159230164078715,0.04575711956212688
5,8,3,1710.6400146484375,1950.3199462890625,32772,0.007157719024724722,0.05050461189108884
5,8,4,1950.3199462890625,4547.759765625,32772,0.29187514800938846,0.6135706179050959
5,8,5,4547.759765625,8809.22021484375,32769,0.2651164067529556,0.5838412189196143
5,8,6,8809.22021484375,10830.7197265625,32767,0.07100607370669003,0.21335717429618037
5,8,7,10830.7197265625,14949.51953125,32769,0.002470887050536437,0.07909613633067437
5,32,0,1219.3599853515625,1417.3599853515625,32762,-0.004010290636998825,0.036171538580084005
5,32,1,1417.3599853515625,1533.5999755859375,32759,-0.002905331316690331,0.061065063109629204
5,32,2,1533.5999755859375,1710.6400146484375,32774,-0.00138782707085971,0.04005006459626827
5,32,3,1710.6400146484375,1950.3199462890625,32772,-0.002721688496204996,0.054867883928166584
5,32,4,1950.3199462890625,4547.759765625,32772,0.2188238247841786,0.551670681399163
5,32,5,4547.759765625,8809.22021484375,32769,0.19164979185899111,0.46317195311907416
5,32,6,8809.22021484375,10830.7197265625,32767,0.04805896619858998,0.15635539667826787
5,32,7,10830.7197265625,14949.51953125,32769,0.006716998281320006,0.05726018689030399
