variant,seed,reference,folder,pair_count,positive_pair_fraction,psnr_gain,ssim,ssim_gain,gradient_ratio_to_noisy,residual_std,brightness_bias_to_reference
P-H,20260716,reference_b_even,7,8,0.0,-3.771258899068239,0.990710352996723,-0.001575834109143484,0.5746352307803562,0.0024657919129822403,-0.003555223171133548
P-H,20260716,reference_b_even,8,8,0.0,-4.092199785857667,0.9920163727568041,-0.001577717405242124,0.5404895264970558,0.0022913601715117693,-0.0032192119979299605
P-H,20260716,reference_b_even,9,8,0.0,-4.4275698690613385,0.9952655288663961,-0.0020962796171967585,0.3777436831936755,0.0020400234207045287,-0.0015224322123685852
P-H,20260716,reference_b_even,10,8,0.0,-5.093547619354501,0.9951242842333372,-0.0031860120353613824,0.295835219600326,0.0019753568194573745,-0.000932123206439428
P-H,20260716,reference_b_even,11,8,0.0,-5.5993289567848,0.9955634204885688,-0.003392216720171315,0.1705853497759099,0.0017596418765606359,-0.00043264560008537956
P-H,20260716,reference_b_even,13,8,0.0,-6.804705787853926,0.9966950602201775,-0.002862617682651225,0.02369653142042597,0.00022411488680518232,0.001327992300502956
P-H,20260717,reference_a_odd,1,8,0.0,-4.509618356907006,0.9948484529852779,-0.0032561082415570597,0.24391602385961988,0.0019092621078016236,-0.0010534820175962523
P-H,20260717,reference_a_odd,2,8,0.0,-2.691972435748819,0.9983861810970364,-0.0010410397442869035,0.029045533951840105,0.0004979970472049899,0.0008128671179292724
P-H,20260717,reference_a_odd,4,8,0.0,-3.6949645431440965,0.9942049611680281,-0.0013182322407983005,0.4982911738170654,0.0022606673883274198,-0.0021767700964119285
P-H,20260717,reference_a_odd,5,8,0.0,-1.1460539341662024,0.983296821115391,-0.0004906704521493999,0.7229664927915536,0.003919088980183005,-0.0036336763587314636
P-H,20260717,reference_a_odd,7,8,0.0,-2.5787218999661237,0.9899126217690225,-0.0023717486507739555,0.5922283861622681,0.002269075106596574,-0.0030170713434927166
P-H,20260717,reference_a_odd,8,8,0.0,-2.9621990201354906,0.9916717610097943,-0.001918812176300369,0.5588259595574327,0.0020736290607601404,-0.002787144301692024
P-H,20260717,reference_a_odd,9,8,0.0,-5.122669443926882,0.9942724866811969,-0.003087775944680113,0.40727075809964386,0.0022036515874788165,-0.0016597399080637842
P-H,20260717,reference_a_odd,10,8,0.0,-6.162956361632032,0.9938226024171357,-0.004489047338561855,0.2954658325415709,0.002188455022405833,-0.0011443846306065097
P-H,20260717,reference_a_odd,11,8,0.0,-6.313479519686694,0.9948236765273768,-0.004131130635451827,0.13616048964714889,0.0018834850779967383,-0.0005698850291082636
P-H,20260717,reference_a_odd,13,8,0.0,-6.175002392698956,0.9971395955644677,-0.0024192223903612836,0.03023549852545575,0.00021887295770284254,0.0012323800037847832
P-H,20260717,reference_b_even,1,8,0.0,-4.533844398250669,0.9948550540185991,-0.0032620884676668876,0.24391602385961988,0.0019062432838836685,-0.001055980465025641
P-H,20260717,reference_b_even,2,8,0.0,-2.5883372647034912,0.9984236095271107,-0.0010018456939053927,0.029045533951840105,0.0004982325481250882,0.0008004133924259804
P-H,20260717,reference_b_even,4,8,0.0,-3.710758097765999,0.9941968854497132,-0.0013314446288268805,0.4982911738170654,0.0022591379238292575,-0.002182778756832704
P-H,20260717,reference_b_even,5,8,0.0,-1.141397757261668,0.9833462936951671,-0.0004597973723863419,0.7229664927915536,0.0039056975801941007,-0.0036254951264709234
P-H,20260717,reference_b_even,7,8,0.0,-2.5819594976383646,0.9899225059994075,-0.0023636811064590563,0.5922283861622681,0.002264443610329181,-0.0030175497522577643
P-H,20260717,reference_b_even,8,8,0.0,-2.9776841274103774,0.9916471900105956,-0.001946900151450548,0.5588259595574327,0.0020660253649111837,-0.0027948626957368106
P-H,20260717,reference_b_even,9,8,0.0,-5.109578203427569,0.9942940282957307,-0.0030677801878620653,0.40727075809964386,0.0022022724442649633,-0.0016526432591490448
P-H,20260717,reference_b_even,10,8,0.0,-6.137822932142216,0.9938464169640976,-0.004463879304600987,0.2954658325415709,0.002187800913816318,-0.0011318943870719522
P-H,20260717,reference_b_even,11,8,0.0,-6.302499381344548,0.9948352026682721,-0.004120434540468079,0.13616048964714889,0.0018820293771568686,-0.0005643437980324961
P-H,20260717,reference_b_even,13,8,0.0,-6.255823651315744,0.9970793454808328,-0.002478332421995938,0.03023549852545575,0.0002186576330132084,0.0012452555092750117
P-H,20260718,reference_a_odd,1,8,0.0,-4.959375923918791,0.994282336977766,-0.0038222242490689173,0.24311257987787077,0.0019554570608306676,-0.0012041869049426168
P-H,20260718,reference_a_odd,2,8,0.0,-1.6729373884428833,0.9987258173973004,-0.000701403444022905,0.028883751974345798,0.0004936607874697074,0.0006891955781611614
P-H,20260718,reference_a_odd,4,8,0.0,-4.842382779128277,0.9930942190043999,-0.002428974404426562,0.5105817586935923,0.0025041467451956123,-0.002560425637057051
P-H,20260718,reference_a_odd,5,8,0.0,-1.5322720964305434,0.9810836753778295,-0.0027038161897108143,0.7611257116359427,0.0038725838530808687,-0.0040252069011330605
P-H,20260718,reference_a_odd,7,8,0.0,-3.753357066706748,0.9884164446244089,-0.0038679257953875834,0.6090744820400387,0.002418011863483116,-0.003582414152333513
P-H,20260718,reference_a_odd,8,8,0.0,-4.309632354735514,0.9902542701288463,-0.003336303057248413,0.5727519112968913,0.002328686765395105,-0.0033219135948456824
P-H,20260718,reference_a_odd,9,8,0.0,-5.895523033633016,0.9932814461224284,-0.004078816503448629,0.41304110999570737,0.002343200787436217,-0.0018980316672241315
