path,sha256_before,sha256_after,mtime_ns_before,mtime_ns_after,unchanged
F:\目标传感器噪声参数估计\data\500ms\P251622020092.tif,6a08959cf383d051b38fa6e2808f93f4783a3b3fdcef57f44e7c25bf7c35fe47,6a08959cf383d051b38fa6e2808f93f4783a3b3fdcef57f44e7c25bf7c35fe47,1758788524000000000,1758788524000000000,True
F:\目标传感器噪声参数估计\data\500ms\P251622030093.tif,137b23d22671ccdb0d5b22223156f94fcf8323b14f8edceb87f4190b0f3eb813,137b23d22671ccdb0d5b22223156f94fcf8323b14f8edceb87f4190b0f3eb813,1758788524000000000,1758788524000000000,True
F:\目标传感器噪声参数估计\data\500ms\P251622030094.tif,4a9ecee0488459cc37e8863d8d2430b6f07d753cac4c4ab99eb17082d313e040,4a9ecee0488459cc37e8863d8d2430b6f07d753cac4c4ab99eb17082d313e040,1758788524000000000,1758788524000000000,True
F:\目标传感器噪声参数估计\data\500ms\P251622040095.tif,f759608f65bafb8313562aa94f319e49230cb0944dc455328dd490178796d9df,f759608f65bafb8313562aa94f319e49230cb0944dc455328dd490178796d9df,1758788526000000000,1758788526000000000,True
F:\目标传感器噪声参数估计\data\500ms\P251622040096.tif,02aaffa2527faef5539d1b9d9100aceb38fc6870379cd83789651d273a23b212,02aaffa2527faef5539d1b9d9100aceb38fc6870379cd83789651d273a23b212,1758788526000000000,1758788526000000000,True
F:\目标传感器噪声参数估计\data\500ms\P251622050097.tif,3a42aa1222393e68d35b40d7107aa5824850266525038ec5d3c35d4b02881d1a,3a42aa1222393e68d35b40d7107aa5824850266525038ec5d3c35d4b02881d1a,1758788526000000000,1758788526000000000,True
F:\目标传感器噪声参数估计\data\500ms\P251622050098.tif,9c0106814b86766ec57a705b0d381ebf93c5c2fe8de6380a5f3e72e07cb790fb,9c0106814b86766ec57a705b0d381ebf93c5c2fe8de6380a5f3e72e07cb790fb,1758788526000000000,1758788526000000000,True
F:\目标传感器噪声参数估计\data\500ms\P251622060099.tif,e1cba38611d11f6951389dfdce74c2389b206b8d3c98a0e54b1fc8c1a277d259,e1cba38611d11f6951389dfdce74c2389b206b8d3c98a0e54b1fc8c1a277d259,1758788528000000000,1758788528000000000,True
E:\PMRID-Pytorch-main\PMRID\PMRID\Scene1\bright\RAW_2020_02_27_17_42_28_921\gt.raw,01cf0f0f8d011c55c969e3d6556532c2e3986feae322409f5c60132970188ff5,01cf0f0f8d011c55c969e3d6556532c2e3986feae322409f5c60132970188ff5,1605821602000000000,1605821602000000000,True
E:\PMRID-Pytorch-main\PMRID\PMRID\Scene1\bright\RAW_2020_02_27_17_42_47_564\gt.raw,63344104a6077abf9659a2cd40e927fde093e4d8a8d92421ac31ca59724b3c63,63344104a6077abf9659a2cd40e927fde093e4d8a8d92421ac31ca59724b3c63,1605821626000000000,1605821626000000000,True
